"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ",thresholds_reached
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,200,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,200,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,40,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,800,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,600,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,100,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,800,0
0,0,0,80,0
0,0,0,200,0
0,0,0,80,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,800,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1000,0
0,0,0,0,0
0,0,0,400,0
200,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1000,0
0,0,0,0,0
0,0,0,160,0
0,0,0,0,0
0,0,0,0,0
0,0,0,320,0
0,0,0,80,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,560,0
0,0,0,800,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,600,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,3600,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
40,0,0,1160,1
0,0,0,2400,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,200,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2700,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,80,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,80,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,0,0,0
0,0,0,400,0
0,0,0,0,0
0,80,0,0,0
0,0,0,0,0
0,0,0,600,0
100,0,0,0,1
0,0,0,12720,0
0,0,0,1400,0
0,0,0,160,0
0,0,0,0,0
0,0,0,160,0
0,0,0,400,0
0,0,0,1000,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,240,0
0,0,0,0,0
0,0,0,0,0
0,0,0,160,0
0,40,0,640,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,0,400,0
0,0,0,0,0
0,0,0,600,0
0,0,0,0,0
0,0,0,880,0
0,40,0,960,0
0,0,0,2400,0
0,0,0,0,0
0,0,0,3200,0
0,0,0,0,0
0,0,0,0,0
0,0,0,160,0
0,0,0,0,0
0,0,0,1080,0
0,0,0,0,0
0,0,0,200,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,160,0
0,0,0,840,0
0,0,0,0,0
0,0,0,200,0
0,0,0,560,0
0,0,0,640,0
0,0,0,320,0
0,0,0,320,0
0,0,0,3800,0
0,0,0,2360,0
0,0,0,840,0
0,80,0,0,0
0,0,0,4600,0
0,0,0,8760,0
0,0,0,3480,0
0,0,0,0,0
0,0,0,120,0
0,0,0,3600,0
0,0,0,0,0
0,0,0,80,0
0,0,0,320,0
0,0,0,1920,0
0,0,0,0,0
0,0,0,800,0
0,0,0,0,0
0,0,0,1760,0
0,0,0,280,0
0,0,0,400,0
0,40,0,1960,0
0,0,0,5600,0
0,0,0,4280,0
0,80,0,3960,0
0,0,0,0,0
0,0,0,8100,0
0,0,0,10300,0
0,0,0,3000,0
0,0,0,0,0
0,0,0,1480,0
0,40,0,720,0
0,0,0,400,0
0,0,0,2080,0
0,0,0,8600,0
0,0,0,0,0
0,0,0,0,0
100,0,0,185500,1
0,0,0,60900,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1800,0
0,0,0,200,0
0,0,0,0,0
100,0,0,0,1
0,0,0,6280,0
0,0,0,4600,0
0,0,0,2900,0
0,0,0,400,0
0,0,0,1900,0
0,0,0,2000,0
0,0,0,1840,0
0,80,0,2280,0
0,0,0,7080,0
0,0,0,0,0
0,0,0,80,0
0,0,0,0,0
0,0,0,0,0
200,0,0,1000,1
0,0,0,0,0
0,0,0,13080,0
0,0,0,17400,0
0,0,0,13720,0
0,0,0,0,0
0,0,0,80,0
0,0,0,400,0
0,0,0,200,0
0,0,0,11300,0
0,0,40,0,0
0,0,0,240,0
0,0,0,8300,0
0,0,0,2100,0
0,0,40,360,0
0,0,0,800,0
0,0,0,0,0
0,0,0,0,0
